FILENAME COMPRESSED_SIZE NUMBER_OF_OBJECTS UNCOMPRESSED_SIZE SHA1_HASH
RS_2014-02.zst 744973191 3946491 5691136648 1ccd0efdf0ca70a8be0161d6b156372fd3efa1fbc6c4ec0fac8622540c8f5e79
RS_2014-03.zst 795929343 4209109 6008731966 d7db64b94ad8dc6e2f1e32dfe20bc218fa744955ecf72032020cc07532110d31
RS_2014-04.zst 777965345 4115035 5872650152 9289577ba1cc93d2d5ff464e47ba0c3a4ffbf5ecb21cba0cd36156ddd3543c18
RS_2014-05.zst 798955455 4162070 6000792034 a32db0501d794fd2e9253bb6182d6b49ada3ecbd5b90f6a95d86e1cc713327ba
RS_2014-06.zst 787594127 4092661 5884842319 3c6665583bbe9108eead1bc3cb5b1c9d9b3f778cbbe56fda847bf0c24a1d2705
RS_2014-07.zst 871554121 4502441 6509154150 df43d8ecf3f321aa7de81c8e3200982bd59154c3e405f9df77f5f4d37bc5b790
RS_2014-08.zst 895954829 4596551 6655632670 447a7b4630f8ed7f2234a54dc88b57decbb09f2b27a658d5de15d523e045a290
RS_2014-09.zst 894901429 4567136 6568814314 b65bb630ff7bec4c1230dead7131932e69679ade812bb020f7c789f12a7c2c5b
RS_2014-10.zst 949140558 4831580 6967891932 990abfc9f56451576a95cf86cd67862de8ccb3b5eb16f6ccf28795579c09991e
RS_2014-11.zst 934425238 4735396 6852078309 dc2f8c92f941a8467730e02b764a4e9ced76c5b870c823386d8aa11baa051a48
RS_2014-12.zst 992312321 4984013 7229662596 29db02b4fc6c34a8ab56c32f690d7fb3027d45f45e73cd25d74e9c7c4f739cd9
RS_2015-01.zst 1225153564 5465910 7969025953 cb0c203b894d55a33b7f826742a3702dd35eee58a3da45bf9058c42947f64118
RS_2015-02.zst 1137613565 5069813 7414985006 83482e96393917d826bd0c804442ed0c6f1c130e18aa8ca119aa5a721e65b77c
RS_2015-03.zst 1428612065 5611145 8858191798 7bc72f4c2aa7a96c3566fa9eeebb2f65061ce1430f4b4e92b5f22dbec0cbc0ab
RS_2015-04.zst 1631942933 5605306 9753028358 6dcb3aec7df3013aae7a41f6683616a1cdeab0b59882e36d105588deff77bb9d
RS_2015-05.zst 1686563661 5757886 10164129492 d97d3b32528f61e950828a9c12b58ad8972ea4fe98e4a09385cb56cccddfd880
RS_2015-06.zst 1863449836 5948530 11639471342 c702b730658e06ced7a8609d4fb08f91f218bd7b686c66e6b5ad947ff0723df0
RS_2015-07.zst 1800381154 5945498 11019305318 f7a99a8362770aa5df278a37288b62c13c51bc2fbf1af10420f40bf3688521ab
RS_2015-08.zst 1870903530 6173540 11773710351 6bfd28ea6e4616426422d377ca985e5f2efd26ab7376992c618563eb6e985365
RS_2015-09.zst 1740566154 6176407 11484649321 057c92747756dc0681911e3a398de767a1ba4a2c3638e756dc8b14061d81114e
RS_2015-10.zst 1799638874 6310673 11775071652 a85eace083426aad7e34ccd4871eabad50dd52be083703b2a996baf6ccd7c698
RS_2015-11.zst 1725585890 6113675 11235269676 17e6d397613429563bd69798fa654e74b1746be685bc8e033f919720c622d060
RS_2015-12.zst 1751465547 6322479 11625863993 7e9e1efd5e53b472f2640c13e72865ddbc063fbb47df556a500016e8ba9e4bdf
RS_2016-01.zst 1935424809 6877510 12836188848 c3881eaa2c6363c7c24bca563716c03e40261b0303c91b2f78c996b8ba5f64ec
RS_2016-02.zst 1922059122 7146932 12783020267 9902ef7636f1d588878a605429857076846e1da3bff3e4527a0f8ac38c436111
RS_2016-03.zst 1962137344 6901239 12741414800 68cafa766f3478d674b455016b3948d92d6772baa3d75069c94e02073925d4d8
RS_2016-04.zst 1946047154 6922510 12058955179 afc9c4ea8bdecc3847fe0887f182759bed389f25644325845095db11e1232b53
RS_2016-05.zst 1993839025 7277166 12635338264 f5acbfa12127e1efeca09d4769377cafdda055b4a61b4ea6f1b1b4691c4b7746
RS_2016-06.zst 2021341225 7188762 12641850009 231cd8967b6eda34f10f3ec00f97a0b6f20bac4628d328b62ce06b71068bba2e
RS_2016-07.zst 2083387782 7369835 12894047208 b7589597f225c1e97491576f41501ed5f36317118f6c25285436c8513bc3c7a8
RS_2016-08.zst 2175420291 7591689 13491810271 adec5cf6488c3a29ba78a0cbf7adf647839940e281efd40fc2f82609eb9d0982
RS_2016-09.zst 2108814072 7437862 13016898019 a8d3ed6c6d0db57cf3829d96f63d397c0dd820eb06225002be86cf9fedda82ed
